@relation handgrasp_object_detection

@attribute T_y real
@attribute T_p real
@attribute T_r real
@attribute I_y real
@attribute I_p real
@attribute I_r real
@attribute M_y real
@attribute M_p real
@attribute M_r real
@attribute R_y real
@attribute R_p real
@attribute R_r real
@attribute P_y real
@attribute P_p real
@attribute P_r real
@attribute B_y real
@attribute B_p real
@attribute B_r real
@attribute Class {bottle_hold,pen_hold,cup_carry,phone_answer,unleash_pen,screw_driver}

@data
235.23, 76.50, -18.54, 217.41, 68.63, -6.31, 201.51, -28.52, 4.10, 245.21, 58.75, 3.59,232.99, 78.93, -49.49,247.03, 64.05, -64.44,bottle_hold
235.06, 76.50, -18.69, 217.26, 68.66, -6.39, 201.50, -28.50, 4.09, 245.12, 58.83, 3.50,232.88, 78.94, -49.59,247.03, 64.04, -64.44,bottle_hold
235.13, 76.52, -18.54, 217.08, 68.68, -6.50, 201.49, -28.50, 4.08, 245.11, 58.81, 3.53,232.88, 78.95, -49.56,247.03, 64.03, -64.44,bottle_hold
235.16, 76.53, -18.43, 217.00, 68.68, -6.48, 201.49, -28.51, 4.06, 245.07, 58.82, 3.51,232.76, 78.96, -49.66,247.04, 64.03, -64.43,bottle_hold
235.03, 76.53, -18.51, 216.86, 68.72, -6.51, 201.48, -28.50, 4.04, 245.07, 58.84, 3.55,232.62, 78.97, -49.80,247.03, 64.03, -64.43,bottle_hold
234.96, 76.54, -18.53, 216.72, 68.75, -6.54, 201.47, -28.48, 4.04, 244.99, 58.92, 3.48,232.69, 78.95, -49.71,247.04, 64.03, -64.42,bottle_hold
234.88, 76.54, -18.57, 216.58, 68.74, -6.58, 201.46, -28.47, 4.03, 244.95, 58.93, 3.47,232.56, 78.96, -49.82,247.01, 64.03, -64.45,bottle_hold
234.68, 76.55, -18.73, 216.52, 68.75, -6.52, 201.45, -28.46, 4.01, 244.97, 58.90, 3.49,232.46, 78.96, -49.87,246.99, 64.03, -64.49,bottle_hold
234.68, 76.56, -18.65, 216.44, 68.79, -6.45, 201.44, -28.46, 4.00, 244.94, 58.87, 3.51,232.43, 78.96, -49.86,246.98, 64.02, -64.50,bottle_hold
234.57, 76.57, -18.69, 216.21, 68.79, -6.61, 201.42, -28.50, 4.00, 244.92, 58.89, 3.53,232.44, 78.97, -49.83,247.01, 63.99, -64.46,bottle_hold
234.50, 76.59, -18.70, 216.17, 68.81, -6.55, 201.40, -28.49, 3.99, 244.92, 58.84, 3.60,232.39, 78.99, -49.87,247.02, 63.99, -64.44,bottle_hold
